school name,school county,alat,alon,grades,schoolScore
BARTON CREEK ELEMENTARY,TRAVIS COUNTY,30.298191,-97.891887,A+,100.0
DEER CREEK ELEMENTARY,WILLIAMSON COUNTY,30.486340000000002,-97.901771,0,0.0
HIGHLAND PARK ELEMENTARY,TRAVIS COUNTY,30.328302,-97.744701,B+,75.0
SUMMITT ELEMENTARY,TRAVIS COUNTY,30.435046999999997,-97.709111,B-,58.33
BARTON CREEK ELEMENTARY,TRAVIS COUNTY,30.291915999999997,-97.88340500000001,A+,100.0
CYPRESS ELEMENTARY,WILLIAMSON COUNTY,30.452407,-97.83847800000001,B-,58.33
LAKEWAY ELEMENTARY,TRAVIS COUNTY,30.369269,-97.988523,A-,83.34
JOSEPH GILBERT ELEMENTARY,TRAVIS COUNTY,30.263773999999998,-97.56855999999999,D,16.67
FOREST TRAIL ELEMENTARY,TRAVIS COUNTY,30.33966,-97.850086,A+,100.0
BARTON CREEK ELEMENTARY,TRAVIS COUNTY,30.306590999999997,-97.860487,A+,100.0
CEDAR CREEK ELEMENTARY,TRAVIS COUNTY,30.254794,-97.829562,A-,83.34
SUNSET VALLEY ELEMENTARY,TRAVIS COUNTY,30.236803000000002,-97.807624,D+,25.0
DEL VALLE ELEMENTARY,TRAVIS COUNTY,30.137981,-97.553513,D-,8.33
WESTSIDE ELEMENTARY,WILLIAMSON COUNTY,30.492666999999997,-97.84455799999999,B-,58.33
SHADOWGLEN ELEMENTARY,TRAVIS COUNTY,30.359234000000004,-97.543432,D+,25.0
DOUBLE FILE TRAIL ELEMENTARY,WILLIAMSON COUNTY,30.528505,-97.65064100000001,C,41.67
FOREST TRAIL ELEMENTARY,TRAVIS COUNTY,30.30513,-97.845761,A+,100.0
LAKEWAY ELEMENTARY,TRAVIS COUNTY,30.344447,-97.978652,A-,83.34
LAKEWAY ELEMENTARY,TRAVIS COUNTY,30.388710999999997,-97.99820799999999,A-,83.34
THE EAST AUSTIN COLLEGE PREP AT SOUTHWEST KEY,TRAVIS COUNTY,30.261932,-97.662189,C+,50.0
LAKE TRAVIS ELEMENTARY,TRAVIS COUNTY,30.377104,-97.970109,B,66.67
MENCHACA ELEMENTARY,TRAVIS COUNTY,30.134209999999996,-97.82500300000001,C-,33.33
LAURA WELCH BUSH ELEMENTARY,TRAVIS COUNTY,30.350434000000003,-97.88703000000001,A,96.67
BEE CAVE ELEMENTARY,TRAVIS COUNTY,30.303021,-97.95688,B+,75.0
CASIS ELEMENTARY,TRAVIS COUNTY,30.300237,-97.782278,A,96.67
RIVER PLACE ELEMENTARY,TRAVIS COUNTY,30.365046000000003,-97.83706600000001,B+,75.0
BARTON CREEK ELEMENTARY,TRAVIS COUNTY,30.294324,-97.87367900000001,A+,100.0
BROOKHOLLOW ELEMENTARY,TRAVIS COUNTY,30.455213,-97.616218,C,41.67
OFFICER LEONARD A REED ELEMENTARY,WILLIAMSON COUNTY,30.480393,-97.81254399999999,D-,8.33
ROOSTER SPRINGS ELEMENTARY,HAYS COUNTY,30.245867999999998,-97.974538,B-,58.33
BLACKLAND PRAIRIE ELEMENTARY,WILLIAMSON COUNTY,30.503079999999997,-97.62168,A-,83.34
ROOSTER SPRINGS ELEMENTARY,HAYS COUNTY,30.239275,-97.981226,B-,58.33
RIVER RIDGE ELEMENTARY,TRAVIS COUNTY,30.328605,-97.925943,A,96.67
LAGO VISTA ELEMENTARY,TRAVIS COUNTY,30.442017,-97.941287,0,0.0
CEDAR CREEK ELEMENTARY,TRAVIS COUNTY,30.261133,-97.806735,A-,83.34
GRANDVIEW HILLS ELEMENTARY,TRAVIS COUNTY,30.426164,-97.903098,B-,58.33
JOSLIN ELEMENTARY,TRAVIS COUNTY,30.225043,-97.788983,C-,33.33
LAKE POINTE ELEMENTARY,TRAVIS COUNTY,30.254845,-97.924439,A+,100.0
READ PRE-K CENTER,TRAVIS COUNTY,30.355644,-97.74426600000001,0,0.0
BALDWIN ELEMENTARY,TRAVIS COUNTY,30.180177,-97.91609100000001,B+,75.0
COOK ELEMENTARY,TRAVIS COUNTY,30.379540999999996,-97.70526,C,41.67
CREEDMOOR ELEMENTARY,HAYS COUNTY,30.069273,-97.751754,0,0.0
CLAYTON ELEMENTARY,TRAVIS COUNTY,30.190859999999997,-97.899672,A,96.67
SUMMITT ELEMENTARY,TRAVIS COUNTY,30.419618,-97.713477,B-,58.33
CANYON CREEK ELEMENTARY,TRAVIS COUNTY,30.430999,-97.83594699999999,A+,100.0
LAKEWAY ELEMENTARY,TRAVIS COUNTY,30.355796999999995,-97.966404,A-,83.34
VIC ROBERTSON ELEMENTARY,WILLIAMSON COUNTY,30.512849,-97.66220200000001,D+,25.0
WILLIAMS ELEMENTARY,TRAVIS COUNTY,30.185246999999997,-97.789176,D,16.67
BARANOFF ELEMENTARY,TRAVIS COUNTY,30.157513,-97.8581,B+,75.0
OAK HILL ELEMENTARY,TRAVIS COUNTY,30.240576,-97.89686,C+,50.0
BEE CAVE ELEMENTARY,TRAVIS COUNTY,30.302821999999995,-97.951053,B+,75.0
BRENTWOOD ELEMENTARY,TRAVIS COUNTY,30.336052000000002,-97.732854,B+,75.0
SUMMITT ELEMENTARY,TRAVIS COUNTY,30.425082,-97.740217,B-,58.33
CLAYTON ELEMENTARY,TRAVIS COUNTY,30.224031,-97.914149,A,96.67
SERENE HILLS ELEMENTARY,TRAVIS COUNTY,30.370109999999997,-98.006364,A-,83.34
RIVER PLACE ELEMENTARY,TRAVIS COUNTY,30.369108,-97.82438499999999,B+,75.0
LAKE TRAVIS ELEMENTARY,TRAVIS COUNTY,30.375857,-97.953614,B,66.67
CASEY ELEMENTARY,TRAVIS COUNTY,30.16323,-97.82401999999999,D+,25.0
LAKEWAY ELEMENTARY,TRAVIS COUNTY,30.357771999999997,-97.98758000000001,A-,83.34
LAKE TRAVIS ELEMENTARY,TRAVIS COUNTY,30.356881,-97.95190699999999,B,66.67
RIVER RIDGE ELEMENTARY,TRAVIS COUNTY,30.347966999999997,-97.90343299999999,A,96.67
MENCHACA ELEMENTARY,TRAVIS COUNTY,30.122483000000003,-97.831521,C-,33.33
DOSS ELEMENTARY,TRAVIS COUNTY,30.373454,-97.789865,A,96.67
CALDWELL ELEMENTARY,WILLIAMSON COUNTY,30.478792,-97.65727700000001,0,0.0
DOSS ELEMENTARY,TRAVIS COUNTY,30.348232,-97.76425400000001,A,96.67
HARRIS ELEMENTARY,TRAVIS COUNTY,30.317396999999996,-97.696999,D,16.67
KIPP AUSTIN OBRAS,TRAVIS COUNTY,30.208007000000002,-97.764852,C-,33.33
PRESIDENTIAL MEADOWS ELEMENTARY,TRAVIS COUNTY,30.331711,-97.477587,F,0.0
STEINER RANCH ELEMENTARY,TRAVIS COUNTY,30.408432,-97.916211,A-,83.34
CANYON CREEK ELEMENTARY,TRAVIS COUNTY,30.440661,-97.820133,A+,100.0
ROOSTER SPRINGS ELEMENTARY,HAYS COUNTY,30.241613,-97.978636,B-,58.33
LAKEWAY ELEMENTARY,TRAVIS COUNTY,30.366745,-97.988579,A-,83.34
SUMMITT ELEMENTARY,TRAVIS COUNTY,30.419766999999997,-97.732424,B-,58.33
DEL VALLE ELEMENTARY,TRAVIS COUNTY,30.190376,-97.54646600000001,D-,8.33
DEL VALLE ELEMENTARY,TRAVIS COUNTY,30.135029,-97.599153,D-,8.33
OAK HILL ELEMENTARY,TRAVIS COUNTY,30.257610999999997,-97.88356,C+,50.0
GALINDO ELEMENTARY,TRAVIS COUNTY,30.237213,-97.775862,D-,8.33
BARTON CREEK ELEMENTARY,TRAVIS COUNTY,30.325957,-97.860957,A+,100.0
STEINER RANCH ELEMENTARY,TRAVIS COUNTY,30.375010999999997,-97.879601,A-,83.34
CEDAR CREEK ELEMENTARY,TRAVIS COUNTY,30.272215000000003,-97.808389,A-,83.34
SUMMITT ELEMENTARY,TRAVIS COUNTY,30.421985,-97.726478,B-,58.33
BARTON HILLS ELEMENTARY,TRAVIS COUNTY,30.257423,-97.782515,A,96.67
CREEDMOOR ELEMENTARY,HAYS COUNTY,30.079031,-97.638598,0,0.0
KATHY CARAWAY ELEMENTARY,TRAVIS COUNTY,30.427722999999997,-97.773145,A,96.67
ANDERSON MILL ELEMENTARY,TRAVIS COUNTY,30.453042,-97.795069,0,0.0
CREEDMOOR ELEMENTARY,HAYS COUNTY,30.066212,-97.675259,0,0.0
MILLS ELEMENTARY,TRAVIS COUNTY,30.225012,-97.897149,A,96.67
RONALD REAGAN ELEMENTARY,WILLIAMSON COUNTY,30.514465,-97.77545500000001,B,66.67
DOSS ELEMENTARY,TRAVIS COUNTY,30.377159999999996,-97.785584,A,96.67
REAL LEARNING ACADEMY,TRAVIS COUNTY,30.165899,-97.79679300000001,D,16.67
DEL VALLE ELEMENTARY,TRAVIS COUNTY,30.146508,-97.58864200000001,D-,8.33
SUNSET VALLEY ELEMENTARY,TRAVIS COUNTY,30.220434,-97.82127,D+,25.0
HARRIS ELEMENTARY,TRAVIS COUNTY,30.317857,-97.693191,D,16.67
CREEDMOOR ELEMENTARY,HAYS COUNTY,30.087008,-97.695545,0,0.0
ODOM ELEMENTARY,TRAVIS COUNTY,30.206286,-97.795307,C,41.67
SERENE HILLS ELEMENTARY,TRAVIS COUNTY,30.333947,-97.985935,A-,83.34
LAGO VISTA ELEMENTARY,TRAVIS COUNTY,30.442434000000002,-97.932422,0,0.0
PATRICIA KNOWLES ELEMENTARY,WILLIAMSON COUNTY,30.513529,-97.892489,D+,25.0
BRUSHY CREEK ELEMENTARY,WILLIAMSON COUNTY,30.517612,-97.73095699999999,B+,75.0
FOREST TRAIL ELEMENTARY,TRAVIS COUNTY,30.309205,-97.809516,A+,100.0
LAKE POINTE ELEMENTARY,TRAVIS COUNTY,30.261156,-97.92183,A+,100.0
LAKE POINTE ELEMENTARY,TRAVIS COUNTY,30.3276,-97.922962,A+,100.0
HIGHLAND PARK ELEMENTARY,TRAVIS COUNTY,30.32439,-97.778865,B+,75.0
CHANDLER OAKS ELEMENTARY,WILLIAMSON COUNTY,30.548853,-97.755166,A-,83.34
GRANDVIEW HILLS ELEMENTARY,TRAVIS COUNTY,30.426921000000004,-97.896137,B-,58.33
BROOKHOLLOW ELEMENTARY,TRAVIS COUNTY,30.46537,-97.61599100000001,C,41.67
WINN ELEMENTARY,TRAVIS COUNTY,30.318707,-97.66780899999999,D-,8.33
PATTON ELEMENTARY,TRAVIS COUNTY,30.219960999999998,-97.848753,B,66.67
BALDWIN ELEMENTARY,TRAVIS COUNTY,30.190544,-97.940382,B+,75.0
HILL ELEMENTARY,TRAVIS COUNTY,30.398460999999998,-97.757776,B+,75.0
SUMMITT ELEMENTARY,TRAVIS COUNTY,30.435366,-97.707091,B-,58.33
BARTON CREEK ELEMENTARY,TRAVIS COUNTY,30.322585999999998,-97.865858,A+,100.0
GOVALLE ELEMENTARY,TRAVIS COUNTY,30.263423,-97.707239,F,0.0
BALDWIN ELEMENTARY,TRAVIS COUNTY,30.192847999999998,-97.917834,B+,75.0
WESTSIDE ELEMENTARY,WILLIAMSON COUNTY,30.493592,-97.925884,B-,58.33
LAGO VISTA ELEMENTARY,TRAVIS COUNTY,30.458178999999998,-97.916337,0,0.0
MILLS ELEMENTARY,TRAVIS COUNTY,30.234233000000003,-97.893253,A,96.67
LAKE TRAVIS ELEMENTARY,TRAVIS COUNTY,30.388478999999997,-97.952372,B,66.67
OFFICER LEONARD A REED ELEMENTARY,WILLIAMSON COUNTY,30.499322999999997,-97.823786,D-,8.33
CREEDMOOR ELEMENTARY,HAYS COUNTY,30.090024,-97.77260600000001,0,0.0
LOIS F GIDDENS ELEMENTARY,WILLIAMSON COUNTY,30.525451,-97.845109,D,16.67
