school name,school county,alat,alon
CREEDMOOR ELEMENTARY,HAYS COUNTY,30.063327,-97.714443
WIELAND ELEMENTARY,TRAVIS COUNTY,30.423237,-97.641259
ROOSTER SPRINGS ELEMENTARY,HAYS COUNTY,30.236453,-98.004138
NORTHWEST ELEMENTARY,TRAVIS COUNTY,30.439805,-97.676659
ROOSTER SPRINGS ELEMENTARY,HAYS COUNTY,30.247939,-97.991176
HILLCREST ELEMENTARY,TRAVIS COUNTY,30.138627,-97.725617
CREEDMOOR ELEMENTARY,HAYS COUNTY,30.101807,-97.679032
NEIDIG ELEMENTARY,BASTROP COUNTY,30.346984,-97.465034
BLUEBONNET TRAIL ELEMENTARY,TRAVIS COUNTY,30.340269,-97.607802
POPHAM ELEMENTARY,TRAVIS COUNTY,30.114289,-97.627506
STEINER RANCH ELEMENTARY,TRAVIS COUNTY,30.372079,-97.87796
LAKE TRAVIS ELEMENTARY,TRAVIS COUNTY,30.368717,-97.960113
GRAHAM ELEMENTARY,TRAVIS COUNTY,30.36624,-97.670015
DAWSON ELEMENTARY,TRAVIS COUNTY,30.241795,-97.763891
BALDWIN ELEMENTARY,TRAVIS COUNTY,30.179531,-97.918222
LIVE OAK ELEMENTARY,WILLIAMSON COUNTY,30.45174,-97.76841
BALDWIN ELEMENTARY,TRAVIS COUNTY,30.192974,-97.94134
CHANDLER OAKS ELEMENTARY,WILLIAMSON COUNTY,30.547307,-97.733272
CREEDMOOR ELEMENTARY,HAYS COUNTY,30.09334,-97.682424
LAKEWAY ELEMENTARY,TRAVIS COUNTY,30.335784,-97.963851
KATHY CARAWAY ELEMENTARY,TRAVIS COUNTY,30.413898,-97.757756
LAGO VISTA ELEMENTARY,TRAVIS COUNTY,30.418081,-97.944796
GRAHAM ELEMENTARY,TRAVIS COUNTY,30.372774,-97.653121
LIVE OAK ELEMENTARY,WILLIAMSON COUNTY,30.466063,-97.761643
KATHY CARAWAY ELEMENTARY,TRAVIS COUNTY,30.419921,-97.755832
RIVER RIDGE ELEMENTARY,TRAVIS COUNTY,30.341566,-97.90929
SPICEWOOD ELEMENTARY,TRAVIS COUNTY,30.438328,-97.810442
CREEDMOOR ELEMENTARY,HAYS COUNTY,30.116346,-97.67958
DEL VALLE ELEMENTARY,TRAVIS COUNTY,30.132658,-97.593266
BLAKE MANOR ELEMENTARY,TRAVIS COUNTY,30.325122,-97.528921
ELSA ENGLAND ELEMENTARY,WILLIAMSON COUNTY,30.495069,-97.769043
OVERTON ELEMENTARY,TRAVIS COUNTY,30.29937,-97.640539
GULLETT ELEMENTARY,TRAVIS COUNTY,30.3375,-97.742008
CREEDMOOR ELEMENTARY,HAYS COUNTY,30.062951,-97.756852
KATHY CARAWAY ELEMENTARY,TRAVIS COUNTY,30.421674,-97.758291
CREEDMOOR ELEMENTARY,HAYS COUNTY,30.079349,-97.751428
DAWSON ELEMENTARY,TRAVIS COUNTY,30.236226,-97.760744
CREEDMOOR ELEMENTARY,HAYS COUNTY,30.106782,-97.728461
GRANDVIEW HILLS ELEMENTARY,TRAVIS COUNTY,30.427832,-97.892225
RIOJAS ELEMENTARY,TRAVIS COUNTY,30.465385,-97.571644
KOCUREK ELEMENTARY,TRAVIS COUNTY,30.176059,-97.839972
MANOR ELEMENTARY,TRAVIS COUNTY,30.336266,-97.562819
CACTUS RANCH ELEMENTARY,WILLIAMSON COUNTY,30.539524,-97.718911
HIGHLAND PARK ELEMENTARY,TRAVIS COUNTY,30.32148,-97.786464
LAUREL MOUNTAIN ELEMENTARY,TRAVIS COUNTY,30.392492,-97.80279
NORTHWEST ELEMENTARY,TRAVIS COUNTY,30.417733,-97.665326
ROOSTER SPRINGS ELEMENTARY,HAYS COUNTY,30.236451,-97.952955
RIOJAS ELEMENTARY,TRAVIS COUNTY,30.458595,-97.570808
MCBEE ELEMENTARY,TRAVIS COUNTY,30.375583,-97.69379
HORNSBY-DUNLAP ELEMENTARY,TRAVIS COUNTY,30.25122,-97.556973
OLD TOWN ELEMENTARY,WILLIAMSON COUNTY,30.530979,-97.700458
MCBEE ELEMENTARY,TRAVIS COUNTY,30.387624,-97.689416
MCBEE ELEMENTARY,TRAVIS COUNTY,30.389935,-97.685762
SERENE HILLS ELEMENTARY,TRAVIS COUNTY,30.347444,-97.99083
PICKLE ELEMENTARY,TRAVIS COUNTY,30.328033,-97.695152
HARRIS ELEMENTARY,TRAVIS COUNTY,30.314663,-97.69848
MENCHACA ELEMENTARY,TRAVIS COUNTY,30.119864,-97.818382
RIOJAS ELEMENTARY,TRAVIS COUNTY,30.461658,-97.576933
RIOJAS ELEMENTARY,TRAVIS COUNTY,30.474712,-97.575426
HIGHLAND PARK ELEMENTARY,TRAVIS COUNTY,30.336404,-97.764175
BRENTWOOD ELEMENTARY,TRAVIS COUNTY,30.346496,-97.727407
LAGO VISTA ELEMENTARY,TRAVIS COUNTY,30.458828,-97.958742
CLAYTON ELEMENTARY,TRAVIS COUNTY,30.244141,-97.944024
OAK HILL ELEMENTARY,TRAVIS COUNTY,30.264616,-97.865864
BLAKE MANOR ELEMENTARY,TRAVIS COUNTY,30.312933,-97.531317
CEDAR CREEK ELEMENTARY,BASTROP COUNTY,30.063737,-97.560917
BLAKE MANOR ELEMENTARY,TRAVIS COUNTY,30.274126,-97.475191
MILLS ELEMENTARY,TRAVIS COUNTY,30.216766,-97.899739
SMITH ELEMENTARY,TRAVIS COUNTY,30.172783,-97.688677
BLAKE MANOR ELEMENTARY,TRAVIS COUNTY,30.302138,-97.499837
BLAZIER ELEMENTARY,TRAVIS COUNTY,30.125542,-97.738536
BARRINGTON ELEMENTARY,TRAVIS COUNTY,30.368758,-97.697767
POPHAM ELEMENTARY,TRAVIS COUNTY,30.108621,-97.641103
ALLISON ELEMENTARY,TRAVIS COUNTY,30.232882,-97.698788
KOCUREK ELEMENTARY,TRAVIS COUNTY,30.179149,-97.845897
ELSA ENGLAND ELEMENTARY,WILLIAMSON COUNTY,30.494378,-97.760304
MILLS ELEMENTARY,TRAVIS COUNTY,30.233941,-97.891758
NYOS - MAGNOLIA MCCULLOUGH CAMPUS,TRAVIS COUNTY,30.38282,-97.710188
CASEY ELEMENTARY,TRAVIS COUNTY,30.177658,-97.809603
KOCUREK ELEMENTARY,TRAVIS COUNTY,30.182888,-97.857569
LAKE POINTE ELEMENTARY,TRAVIS COUNTY,30.313604,-97.931221
WELLS BRANCH ELEMENTARY,TRAVIS COUNTY,30.440601,-97.706142
BEE CAVE ELEMENTARY,TRAVIS COUNTY,30.295452,-97.946057
SUMMITT ELEMENTARY,TRAVIS COUNTY,30.416599,-97.734563
PATRICIA KNOWLES ELEMENTARY,WILLIAMSON COUNTY,30.514758,-97.88064
JOSLIN ELEMENTARY,TRAVIS COUNTY,30.231135,-97.783301
HIGHLAND PARK ELEMENTARY,TRAVIS COUNTY,30.489016,-97.605895
JOSLIN ELEMENTARY,TRAVIS COUNTY,30.222107,-97.787182
WINN ELEMENTARY,TRAVIS COUNTY,30.313644,-97.668377
COPPERFIELD ELEMENTARY,TRAVIS COUNTY,30.384114,-97.670574
BLAKE MANOR ELEMENTARY,TRAVIS COUNTY,30.309408,-97.514248
BARANOFF ELEMENTARY,TRAVIS COUNTY,30.160392,-97.854178
BARANOFF ELEMENTARY,TRAVIS COUNTY,30.155723,-97.871613
ORTEGA ELEMENTARY,TRAVIS COUNTY,30.26912,-97.690814
MENCHACA ELEMENTARY,TRAVIS COUNTY,30.125975,-97.829378
BLUEBONNET ELEMENTARY,BASTROP COUNTY,30.165083,-97.494578
HORNSBY-DUNLAP ELEMENTARY,TRAVIS COUNTY,30.22624,-97.630832
PIONEER CROSSING ELEMENTARY,TRAVIS COUNTY,30.360134,-97.63848
CASIS ELEMENTARY,TRAVIS COUNTY,30.297615,-97.76511
EL DAEP,WILLIAMSON COUNTY,30.470705,-97.778021
MENCHACA ELEMENTARY,TRAVIS COUNTY,30.122444,-97.830406
HIGHLAND PARK ELEMENTARY,TRAVIS COUNTY,30.326024,-97.765082
DEL VALLE ELEMENTARY,TRAVIS COUNTY,30.142666,-97.598715
POPHAM ELEMENTARY,TRAVIS COUNTY,30.127313,-97.627132
FOREST TRAIL ELEMENTARY,TRAVIS COUNTY,30.317786,-97.831816
DEARING ELEMENTARY,WILLIAMSON COUNTY,30.488584,-97.580731
EANES ELEMENTARY,TRAVIS COUNTY,30.296466,-97.811094
BLOCK HOUSE CREEK ELEMENTARY,WILLIAMSON COUNTY,30.545721,-97.80662
BLAZIER ELEMENTARY,TRAVIS COUNTY,30.150327,-97.737989
PILLOW ELEMENTARY,TRAVIS COUNTY,30.372195,-97.730648
POPHAM ELEMENTARY,TRAVIS COUNTY,30.129177,-97.646425
BLAKE MANOR ELEMENTARY,TRAVIS COUNTY,30.298609,-97.482155
LAKEWAY ELEMENTARY,TRAVIS COUNTY,30.347232,-97.954902
PEREZ ELEMENTARY,TRAVIS COUNTY,30.165527,-97.766492
LAURA WELCH BUSH ELEMENTARY,TRAVIS COUNTY,30.355006,-97.889229
CANYON CREEK ELEMENTARY,TRAVIS COUNTY,30.425188,-97.813231
LAKE TRAVIS ELEMENTARY,TRAVIS COUNTY,30.410545,-97.936304
CALDWELL ELEMENTARY,WILLIAMSON COUNTY,30.473703,-97.655205
PILLOW ELEMENTARY,TRAVIS COUNTY,30.36074,-97.734999
TIMMERMAN ELEMENTARY,TRAVIS COUNTY,30.433745,-97.629473
SERENE HILLS ELEMENTARY,TRAVIS COUNTY,30.34326,-97.998592
HORNSBY-DUNLAP ELEMENTARY,TRAVIS COUNTY,30.245106,-97.558013
BLANTON ELEMENTARY,TRAVIS COUNTY,30.304101,-97.688652
LAKE TRAVIS ELEMENTARY,TRAVIS COUNTY,30.405197,-97.924198
BRIDGE POINT ELEMENTARY,TRAVIS COUNTY,30.340076,-97.813207
HORNSBY-DUNLAP ELEMENTARY,TRAVIS COUNTY,30.234128,-97.585467
ROOSTER SPRINGS ELEMENTARY,HAYS COUNTY,30.228638,-97.954872
POPHAM ELEMENTARY,TRAVIS COUNTY,30.136723,-97.661962
FERN BLUFF ELEMENTARY,WILLIAMSON COUNTY,30.519695,-97.712518
DEL VALLE ELEMENTARY,TRAVIS COUNTY,30.13817,-97.553373
BARTON CREEK ELEMENTARY,TRAVIS COUNTY,30.291211,-97.89989
ROWE LANE ELEMENTARY,TRAVIS COUNTY,30.485808,-97.548504
CREEDMOOR ELEMENTARY,HAYS COUNTY,30.115179,-97.67404
PARMER LANE ELEMENTARY,TRAVIS COUNTY,30.416286,-97.691808
ROWE LANE ELEMENTARY,TRAVIS COUNTY,30.474404,-97.566496
CREEDMOOR ELEMENTARY,HAYS COUNTY,30.114086,-97.704758
DESSAU ELEMENTARY,TRAVIS COUNTY,30.406867,-97.629768
KIKER ELEMENTARY,TRAVIS COUNTY,30.182429,-97.860524
CEDARS INTERNATIONAL ACADEMY,TRAVIS COUNTY,30.347164,-97.690333
LAKE POINTE ELEMENTARY,TRAVIS COUNTY,30.281308,-97.935216
DEL VALLE ELEMENTARY,TRAVIS COUNTY,30.136692,-97.5809
BLAKE MANOR ELEMENTARY,TRAVIS COUNTY,30.302261,-97.47866
BEE CAVE ELEMENTARY,TRAVIS COUNTY,30.304407,-97.956248
CALDWELL ELEMENTARY,WILLIAMSON COUNTY,30.47037,-97.649325
HIGHLAND PARK ELEMENTARY,TRAVIS COUNTY,30.326277,-97.772784
LAGO VISTA ELEMENTARY,TRAVIS COUNTY,30.459363,-97.919283
GRANDVIEW HILLS ELEMENTARY,TRAVIS COUNTY,30.435939,-97.872681
SPRINGHILL ELEMENTARY,TRAVIS COUNTY,30.440137,-97.650887
MILLS ELEMENTARY,TRAVIS COUNTY,30.244784,-97.919392
LAKEWAY ELEMENTARY,TRAVIS COUNTY,30.364312,-97.969846
FOREST TRAIL ELEMENTARY,TRAVIS COUNTY,30.317849,-97.814495
BECKER ELEMENTARY,TRAVIS COUNTY,30.242995,-97.763441
SERENE HILLS ELEMENTARY,TRAVIS COUNTY,30.359994,-97.992013
DEER CREEK ELEMENTARY,WILLIAMSON COUNTY,30.471392,-97.854977
BLAZIER ELEMENTARY,TRAVIS COUNTY,30.152985,-97.737266
ODOM ELEMENTARY,TRAVIS COUNTY,30.200303,-97.78921
BECKER ELEMENTARY,TRAVIS COUNTY,30.257111,-97.75632
SHADOWGLEN ELEMENTARY,TRAVIS COUNTY,30.406186,-97.501327
SUMMITT ELEMENTARY,TRAVIS COUNTY,30.416983,-97.73403
CASIS ELEMENTARY,TRAVIS COUNTY,30.295745,-97.775631
MURCHISON ELEMENTARY,TRAVIS COUNTY,30.446105,-97.586851
PATTON ELEMENTARY,TRAVIS COUNTY,30.226,-97.840289
BROOKHOLLOW ELEMENTARY,TRAVIS COUNTY,30.443584,-97.612688
PARMER LANE ELEMENTARY,TRAVIS COUNTY,30.425743,-97.694217
BLAKE MANOR ELEMENTARY,TRAVIS COUNTY,30.294525,-97.496573
KOCUREK ELEMENTARY,TRAVIS COUNTY,30.161366,-97.826582
