Zillow ID,address,zipcode,alat,alon,valuation,sqft,value sqft,neighborhood,tractCode,countyFips,stateFips,commuteTime
29402664,6613 Greensboro Drive,78723,30.307005,-97.662965,369669.0,1689.0,218.87,Las Cimas,2108,453,48,22.4
29329572,11201 Solitary Fawn Trail,78735,30.296454,-97.917115,1069202.0,4844.0,220.73,,1908,453,48,23.3
70334786,7012 Doyal Drive,78747,30.151836,-97.737882,217053.0,1665.0,130.36,Thaxton Place,2426,453,48,33.7
29392790,1712 Adina Street,78721,30.281868,-97.680627,285692.0,1080.0,264.53,MLK-183,2109,453,48,21.1
29347491,4407 City Park Road,78730,30.356611,-97.826757,768344.0,2919.0,263.22,Long Canyon,1761,453,48,24.9
29514532,2716 Arroyo Blanco Cove,78748,30.155409,-97.851394,405334.0,2841.0,142.67,Olympic Heights,1774,453,48,31.1
29410961,7105 Northeast Drive,78723,30.321213,-97.678712,376801.0,1744.0,216.06,Coronado Hills,2113,453,48,31.3
202151883,85 Country Oaks Drive,78610,30.116677000000006,-97.886274,482414.0,2209.0,218.39,,10901,209,48,34.5
28604932,204 Mandan Street,78610,30.079142,-97.839185,210292.0,1369.0,153.61,,10902,209,48,32.8
79980448,9608 Derecho Bend,78737,30.222492,-97.93371,492392.0,2350.0,209.53,Estates of Lewis Mountain,1733,453,48,25.8
60136457,13113 Country Lake Drive,78732,30.375562,-97.902388,664325.0,3962.0,167.67,,1760,453,48,33.2
60136673,2724 Zambia Drive,78613,30.47211,-97.855542,486996.0,3805.0,127.99,,1765,453,48,31.3
144980837,11811 Arnhamn Lane,78653,30.380431,-97.522848,189339.0,1478.0,128.1,Kimbro Creek Estates,1854,453,48,40.5
116080915,14399 Montour Drive,78717,30.484543,-97.795501,584376.0,3557.0,164.29,,20311,491,48,26.0
58317307,1116 Canon Yeomans Trail,78748,30.154372,-97.82707,284869.0,1860.0,153.16,Canterbury Trails,1772,453,48,27.2
144291430,12700 Sparks Road,78653,30.388275,-97.503637,860539.0,1552.0,554.47,,1854,453,48,40.5
