zid,address,zipcode,alat,alon,valuation,value_change,value_range_high,value_range_low,value_percentile,sqft,lot_sqft,year_built,bathrooms,bedrooms,last_sold_date,last_sold_price
29384748,4805 Lyons Road,78702,30.258987,-97.696745,656795.0,80988,748746,577980,0,1000,19297,1953.0,,1.0,,
29362929,9606 Leaning Rock Circle,78730,30.384739,-97.832891,516231.0,1117,598828,464608,0,2963,59677,1995.0,,,,
119624869,9312 Sydney Marilyn Lane,78748,30.166866,-97.795982,335503.0,3865,358988,318728,0,1942,5711,2014.0,,3.0,,
29342360,204 Tumbleweed Trail North,78733,30.32669,-97.867359,673148.0,-10684,895287,565444,0,2475,41818,1983.0,,,,
29508899,7303 Dan Pass,78744,30.178946,-97.766522,215452.0,3739,226225,204679,0,1031,12057,1994.0,,3.0,,
29365955,11200 Taylor Draper Lane,78759,30.412782,-97.753495,646811.0,-7855,679152,588598,0,3580,11979,2001.0,,4.0,,
29511494,2639 Gwendolyn Lane,78748,30.17464,-97.837427,358141.0,2285,376048,336653,0,2004,10163,1985.0,,,,
29434308,11901 River Oaks Trail,78753,30.38281,-97.664957,305032.0,-359,320284,289780,0,1782,14850,1975.0,,,,
29495273,2928 Norfolk Drive,78745,30.200085,-97.826668,329570.0,1187,349344,313092,0,1654,6534,1984.0,,3.0,,
29391246,1701 Victoria Drive,78721,30.282846,-97.689222,270735.0,-3277,292394,243662,0,952,13190,1958.0,,,,
58297453,728 Barton Creek Boulevard,78735,30.299686,-97.847555,2098096.0,36754,2244963,1930248,0,7669,98010,1999.0,,4.0,,
29323338,5408 Southwest Parkway,78735,30.256778,-97.83746,472559.0,-5988,496187,448931,0,1975,7802,1999.0,,4.0,,
29508993,2106 Quicksilver Boulevard,78744,30.177911,-97.768889,219388.0,681,234745,208419,0,1211,12197,1995.0,,,,
83125591,6001 Sandshof Drive,78724,30.293195,-97.647967,186137.0,3071,202889,167523,0,900,11683,2012.0,,2.0,11/09/2012,
64758045,9706 Saugus Lane,78733,30.346025,-97.860213,319395.0,9629,376886,274680,0,1,10629,2007.0,,,,
29342083,3803 Woodcutters Way,78746,30.327284,-97.785336,1467017.0,22243,1555038,1290975,0,5415,43800,1990.0,,,,
29358503,5007 Arax Cove,78731,30.370622,-97.774562,667487.0,-14041,700861,634113,0,2316,15071,1975.0,,3.0,,
29382224,1711 Holly Street,78702,30.253646,-97.727468,479189.0,8509,503148,440854,0,1008,6983,1995.0,,,,
29514143,1104 Penion Drive,78748,30.157527,-97.824021,374111.0,2716,400299,351664,0,2280,81022,2003.0,,,,
29344901,3222 Smoky Ridge,78730,30.337639,-97.819642,2147779.0,-4624,2255168,1911523,0,2864,27573,1972.0,,3.0,10/13/2016,
29459138,1611 Nickerson Street,78704,30.246782,-97.749181,1008679.0,-46082,1099460,857377,0,2444,4452,1920.0,,4.0,,
29329780,1623 West 10th Street,78703,30.279661,-97.761549,688870.0,-24548,750868,619983,0,1788,4822,1986.0,,,,
29388448,2101 East 18th Street,78702,30.27872,-97.718714,443418.0,-2700,465589,421247,0,1093,7718,2001.0,,3.0,,
29398820,6307 Moonglow Drive,78724,30.295529,-97.644885,197880.0,2905,215689,178092,0,1680,7231,1983.0,,,,
29354016,9610 Westminster Glen Avenue,78730,30.366539,-97.844538,1051585.0,-6519,1114680,977974,0,4889,51096,2000.0,,5.0,,
29499342,8711 Coastal Drive,78749,30.199437,-97.847061,340821.0,1613,364678,316964,0,2063,5963,1986.0,,,,
29382543,1204 Taylor Street,78702,30.256762,-97.733412,454525.0,-2700,477251,431799,0,852,5749,1929.0,,1.0,12/09/2015,
96638852,6319 South Pleasant Valley Road,78744,30.18296,-97.743553,177536.0,456,195290,159782,0,1092,146057,1999.0,,,,
29334563,8844 Chalk Knoll Drive,78735,30.296189,-97.865892,1242245.0,8346,1366469,1130443,0,4943,23522,2002.0,,4.0,,
29341971,3400 Toro Canyon Road,78746,30.325872,-97.791895,17820824.0,-27502,29226151,11405327,0,,871200,1996.0,,,,
29429018,10500 Brownie Drive,78753,30.370018,-97.683295,298757.0,-3141,313695,280832,0,1553,13024,2000.0,,3.0,,
63835658,1950 Webberville Road,78721,30.284721,-97.672565,,,,,0,669,442831,2004.0,,,,
29477380,5803 Oakclaire Drive,78735,30.240995,-97.851318,379593.0,-5875,409960,349226,0,1684,14984,1971.0,,4.0,,
29342273,2305 Manana Street,78730,30.328725,-97.827706,2284670.0,-201353,2490290,2056203,0,4,33279,1986.0,,4.0,05/28/1996,6525
29383688,7601 Shelton Road,78725,30.261307,-97.663077,291108.0,8891,317308,259086,0,1864,50094,1962.0,,,,
64721106,10909 Sea Hero Lane,78748,30.150387,-97.809958,401958.0,2365,434115,381860,0,3071,11178,2003.0,,5.0,,
64607190,7803 Dee Gabriel Collins Road,78744,30.173906,-97.704762,283588.0,-8293,303439,269409,0,1016,229910,1955.0,,,,
29342152,4901 Whitethorn Court,78746,30.32556,-97.788579,1608188.0,-8026,1769007,1511697,0,4479,108029,1993.0,,,,
29341914,4004 Balcones Drive,78731,30.32124,-97.770723,1747486.0,-3745,1904760,1642637,0,6788,39420,1975.0,,6.0,03/01/2017,1640000
29503010,2310 Bitter Creek Drive,78744,30.183402,-97.759676,262881.0,-2737,278654,244479,0,2550,5776,1972.0,,,,
29340837,16 Cicero Lane,78746,30.314685,-97.835728,2796043.0,-186677,2935845,2656241,0,7473,169100,2012.0,,7.0,,
29478499,3816 Southway Drive,78704,30.231034,-97.775691,597813.0,-2762,669551,567922,0,4030,8276,1971.0,,0.0,,
29345708,5104 Beverly Hills Drive,78731,30.337164,-97.766858,904193.0,-3271,976528,849941,0,2990,9879,1976.0,,4.0,08/25/2015,852500
29398262,3504 Duval Street,78751,30.298054,-97.73064,504375.0,-29812,549769,464025,0,1100,8363,1924.0,,2.0,,
29332481,402 Oak Ridge Drive,78746,30.28616,-97.797315,1160473.0,4534,1230101,1102449,0,3227,19122,1975.0,,4.0,,
29391371,1416 Webberville Road,78721,30.280001,-97.681733,328255.0,237,364363,305277,0,1464,6064,1962.0,,,,
29407934,5700 Cameron Road,78723,30.315519,-97.702903,13072617.0,-24876,26145234,7974296,0,925,222374,1969.0,,2.0,,
64445951,10500 Thaxton Road,78747,30.124953,-97.742819,273497.0,-183,287172,251617,0,1152,224203,1997.0,,0.0,,
119620125,10024 Capital of Texas Highway,78759,30.391176,-97.737333,11442932.0,-14110,16363393,8010052,0,646,146100,2000.0,,0.0,,
124720638,900 Lost Canyon Drive,78746,30.306849,-97.799752,2108648.0,-38110,2235167,1897783,0,5061,191011,2005.0,,,,
29467212,5205 South Pleasant Valley Road,78744,30.196353,-97.744268,235555.0,-338,256755,212000,0,1722,7666,1983.0,,4.0,07/31/2015,214000
2092107298,2401 West William Cannon Drive,78745,30.19726,-97.790081,,,,,0,577,,,,1.0,,
29474087,4820 Trail Crest Circle,78735,30.249688,-97.829666,464110.0,-11213,487315,440905,0,1768,9504,1975.0,,3.0,,
29394602,1504 East 37th Street,78722,30.29087,-97.715638,412361.0,-3228,432979,387619,0,1272,8189,1949.0,,3.0,,
89552024,10514 Wylie Drive,78748,30.165817,-97.821976,268846.0,284,282288,255404,0,1474,9736,2008.0,,,,
29322382,2205 Rabb Glen Street,78704,30.25051,-97.779359,958753.0,-37006,1169679,814940,0,1386,7013,1951.0,,3.0,,
29364512,6315 Pathfinder Drive,78759,30.404022,-97.77091,647153.0,-4946,679511,614795,0,3456,10890,1991.0,,4.0,11/09/2015,
80106552,4016 Pinckney Street,78722,30.292292,-97.70333,680988.0,-2003,742277,606079,0,2515,4965,2008.0,,4.0,,
29336537,203 Canyon Rim Drive,78746,30.299048,-97.839046,2692188.0,-276854,4388266,2476813,0,9750,430372,2001.0,,,,
2111405715,7920 Rockwood Lane,78757,30.361179,-97.737659,,,,,0,752,,1968.0,,1.0,,
2113422848,12166 Metric Boulevard,78727,30.406791,-97.697861,178436.0,9820,303341,117768,0,657,,1986.0,,1.0,09/14/2018,163000
