zid,address,zipcode,alat,alon,valuation,value_change,value_range_high,value_range_low,value_percentile,sqft,lot_sqft,year_built,bathrooms,bedrooms,last_sold_date,last_sold_price
124841886,6906 Arroyo Seco,78757,30.341789,-97.728117,632735.0,20825,670699,594771,0,2304,5807,2016.0,,4.0,11/30/2016,
29323057,2712 Bartons Bluff Lane,78746,30.254971,-97.795767,1218271.0,-14532,1291367,1145175,0,3731,17075,1993.0,,5.0,,
29488486,2411 Campden Drive,78745,30.206251,-97.811133,277986.0,-1705,291885,264087,0,1392,6957,1973.0,,3.0,,
29385788,4208 Kings Court,78724,30.261739,-97.630781,157849.0,1513,173634,132593,0,1494,11962,1988.0,,,,
29401590,610 East 48th Street,78751,30.30976,-97.720171,478988.0,-17997,507727,450249,0,1279,8041,1947.0,,3.0,,
29328617,2105 Kemper Cove,78746,30.276296,-97.836734,1119902.0,5381,1175897,1030310,0,3945,29368,1984.0,,,,
29460746,1713 Taylor Gaines Street,78741,30.240078,-97.73256,380034.0,-907,429438,311628,0,600,10410,1964.0,,1.0,,
144192460,4901 China Garden Drive,78730,30.374817,-97.841513,,,,,0,,29055,,,0.0,,
29486529,5001 Convict Hill Road,78749,30.216848,-97.853399,,,,,0,885,372002,1985.0,,2.0,,
29353458,7700 Pleasant Meadow Circle,78731,30.363857,-97.755522,811157.0,-11686,867938,770599,0,3666,19950,1977.0,,4.0,08/17/2018,
29333307,1810 Niles Road,78703,30.287859,-97.760931,826165.0,-15494,999660,760072,0,1044,7553,1938.0,,,,
29428452,8930 Galewood Drive,78758,30.366637,-97.716021,,,,,0,415,51122,1980.0,,1.0,,
29510771,4906 Canella Drive,78744,30.172915,-97.756037,181981.0,11622,194720,163783,0,1106,10193,1981.0,,,,
29347611,3801 Ranch Creek Drive,78730,30.355749,-97.845946,711776.0,-1841,747365,661952,0,3203,70567,1985.0,,,,
29401216,4104 Speedway,78751,30.304657,-97.731346,1009222.0,3,1089960,898208,0,3156,9762,1995.0,,,,
58222974,6101 Blarwood Drive,78745,30.21647,-97.811281,357099.0,2733,385667,321389,0,1566,11021,1972.0,,,,
120900456,2744 Tom Miller Street,78722,30.290218,-97.700309,448759.0,-6185,475685,417346,0,1459,1603,2011.0,,2.0,,
29509137,718 Yarsa Boulevard,78748,30.175945,-97.803176,280846.0,937,317356,255570,0,1733,7244,1984.0,,,,
29403321,4409 Avenue C,78751,30.309076,-97.730195,516338.0,-5985,542155,490521,0,1294,7166,1947.0,,,,
80107203,5800 Zachary Scott Street,78747,30.138732,-97.768831,244994.0,2741,257244,232744,0,1436,6185,2009.0,,3.0,,
69814704,7301 Cayenne Lane,78742,30.221077,-97.694053,340487.0,3145,374536,316653,0,2292,9065,2005.0,,,,
70326199,1118 Desirable Drive,78721,30.264157,-97.685775,329004.0,959,365194,302684,0,1161,12201,2005.0,,,02/18/2005,5500
29465965,5909 Burleson Road,78744,30.207487,-97.718984,817520.0,-107027,1242630,572264,0,1044,128807,1950.0,,,,
29342344,1120 Elder Circle,78733,30.324361,-97.847728,1110993.0,4531,1188763,1022114,0,4385,44953,1984.0,,4.0,,
29388335,1210 Bob Harrison Street,78702,30.274464,-97.727294,467767.0,-1249,491155,444379,0,820,5967,2002.0,,2.0,,
29392869,1940 Webberville Road,78721,30.283714,-97.673304,318590.0,20475,379122,267616,0,886,45477,1945.0,,,,
29342219,3201 Lookout Lane,78746,30.328044,-97.804964,1147146.0,2531,1365104,998017,0,4678,19798,1990.0,,,05/23/2016,
119979309,2204 Canonero Drive,78746,30.322284,-97.812624,2553413.0,-253418,2681084,2425742,0,7872,115656,2013.0,,5.0,,
249911779,9139 Nuckols Crossing Road,78747,30.155389,-97.765724,,,,,0,,2870386,,,0.0,,
70354478,2121 Callingwood Drive,78754,30.37333,-97.649235,253792.0,-476,269020,233489,0,2467,5967,2009.0,,3.0,,
89551685,4604 Island Cove,78731,30.331889,-97.779697,5817902.0,-14039,8901390,4072531,0,7840,91389,2008.0,,,,
29474029,4702 Trail West Drive,78735,30.246506,-97.830036,482948.0,-9062,507095,458801,0,2117,9775,1975.0,,,,
124845235,3103 Sweet Autumn Cove,78735,30.283792,-97.87143,1357654.0,6211,1479843,1221889,0,3960,44057,2015.0,,4.0,,
29386243,1007 Glen Oaks Court,78702,30.268657,-97.710699,389717.0,-21352,432586,350745,0,1163,5749,1985.0,,3.0,02/24/2014,185325
29488938,7455 Pusch Ridge Loop,78749,30.213975,-97.845357,357584.0,7178,375463,332553,0,2136,10541,1999.0,,3.0,04/14/2017,
125808023,10200 Giles Lane,78754,30.34385,-97.620614,,,,,0,,2357903,,,,,
29328825,6105 Turtle Point Drive,78746,30.274985,-97.841349,473900.0,-2082,497595,450205,0,1724,10250,1975.0,,,,
29356171,6300 Chambly Cove,78730,30.379123,-97.830828,1207773.0,-4905,1304395,1123229,0,4202,62265,1999.0,,,06/28/2016,
145657879,3409 Davis Lane,78748,30.193898,-97.839728,601424.0,-25329,793880,505196,0,3153,190357,2015.0,,4.0,,
111969776,8304 Sassman Road,78747,30.140021,-97.717516,189663.0,6349,212423,170697,0,900,43560,1950.0,,,,
29468360,7401 Southgate Lane,78744,30.193051,-97.701837,208776.0,2715,227566,187898,0,1330,10376,1968.0,,,,
119621583,8108 Barton Club Drive,78735,30.291259,-97.858184,,,,,0,160000,733115,2001.0,,,,
29338320,8212 Talbot Cove,78746,30.306117,-97.858722,768777.0,-5315,868718,707275,0,2878,34848,1988.0,,,,
125917629,8910 FM 812,78719,30.162214,-97.68825,,,,,0,,3398,1960.0,,,,
144231193,300 Edwin Lane,78742,30.24978,-97.658206,,,,,0,,4776485,,,0.0,,
29343569,2520 Pearce Road,78730,30.333244,-97.82628,1451028.0,24504,1770254,1233374,0,5174,224726,1986.0,,,,
29329943,1721 Palma Plaza,78703,30.283353,-97.762698,906940.0,18370,1015773,789038,0,2538,8453,1945.0,,4.0,,
29485822,5506 Salem Walk Drive,78745,30.209874,-97.783352,298004.0,-3858,312904,280124,0,1209,8215,1971.0,,,05/29/1990,54000
29356168,9405 Bell Mountain Drive,78730,30.380562,-97.831433,1140158.0,-9576,1242772,1014741,0,3822,130680,1991.0,,4.0,05/08/2015,925000
70342502,2307 Kinney Road,78704,30.245655,-97.773194,823490.0,-10761,938779,782316,0,2450,16117,1904.0,,4.0,,
29346360,4722 Palisade Drive,78731,30.340961,-97.783422,505506.0,4084,601552,470121,0,2659,10454,1981.0,,3.0,,
29408403,6506 Auburnhill Street,78723,30.313939,-97.677282,436991.0,6301,476320,415141,0,1868,15028,1965.0,,3.0,,
70330284,7828 Escala Drive,78735,30.269837,-97.865817,2380449.0,-65954,2594689,1904359,0,6706,117655,2005.0,,5.0,,
29338998,3105 Pleasant Run Place,78703,30.309194,-97.765938,1212761.0,10412,1273399,1139995,0,3282,7318,1976.0,,4.0,,
79980584,7101 Malibu Cove,78730,30.342384,-97.818861,1135610.0,6582,1192390,1056117,0,4183,69,2006.0,,4.0,,
125804971,5409 Vine Hill Drive,78744,30.173482,-97.7487,,,,,0,784,18195,1971.0,,,,
29340720,2419 Trail of the Madrones,78746,30.316635,-97.796758,763315.0,16761,816747,694617,0,1776,22303,1972.0,,,,
29481447,7013 Gentle Oak Drive,78749,30.229185,-97.867116,410337.0,2972,430854,389820,0,2605,7471,1994.0,,,,
64724471,11205 Real Quiet Drive,78748,30.148254,-97.811235,316987.0,-1115,332836,301138,0,2178,7579,2003.0,,4.0,,
29504040,9101 Curlew Drive,78748,30.186164,-97.830265,303489.0,-525,318663,288315,0,1454,6774,1982.0,,3.0,02/23/2017,
89545691,8313 Nicola Trail,78745,30.19451,-97.828522,363047.0,-6733,381199,344895,0,2186,5384,2013.0,,4.0,09/14/2015,
29340666,2102 North Oak Canyon Road,78746,30.313508,-97.798328,1774441.0,-4730,2164818,1579252,0,4306,55,2001.0,,3.0,,
80097687,2108 Deleon Court,78733,30.341431,-97.857555,1091790.0,5698,1190051,1004447,0,5098,46609,2006.0,,5.0,,
83814370,8624 Acuarela Court,78735,30.271343,-97.881217,2256348.0,30021,2481983,1985586,0,4881,56323,2015.0,,4.0,12/17/2015,
29476744,3208 South 5th Street,78704,30.234767,-97.769224,438994.0,-4673,460944,417044,0,300,8403,2004.0,,,,
79982300,3716 Bronco Bend Loop,78742,30.197034,-97.694028,228134.0,493,239541,209883,0,1597,7405,2006.0,,3.0,08/11/2017,
29486298,3704 Harpers Ferry Lane,78749,30.208868,-97.837242,289053.0,1369,303506,274600,0,1368,6534,1980.0,,3.0,,
29492832,6107 Shadow Bend,78745,30.200887,-97.781212,244045.0,832,256247,226962,0,880,9352,1977.0,,,,
29336059,3218 Clearview Drive,78703,30.296323,-97.774712,1283415.0,29029,1411756,1129405,0,3398,10668,1940.0,,4.0,,
29388167,1158 Lott Avenue,78721,30.27462,-97.682671,316939.0,-14484,358141,272568,0,720,8450,1958.0,,2.0,,
